antecedents,consequents,representativity,zhangs_metric,jaccard,certainty,kulczynski,zhang metric2
frozenset({'SET/10 BLUE POLKADOT PARTY CANDLES'}),frozenset({'SET/10 PINK POLKADOT PARTY CANDLES'}),1.0,0.9938229141806237,0.59375,0.8615188024826579,0.7594043887147335,0.6511253575666155
"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),1.0,0.963325642997522,0.2781065088757397,0.8021012189916046,0.5539065910082933,0.2865588938030604
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER MINT'}),1.0,0.998906429632953,0.883720930232558,0.9740718714325752,0.9395604395604396,0.903772483953624
frozenset({'HERB MARKER MINT'}),frozenset({'HERB MARKER ROSEMARY'}),1.0,0.9997053417334325,0.883720930232558,0.903772483953624,0.9395604395604396,0.903772483953624
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),1.0,0.9934396474903918,0.6124999999999999,0.8132697815968493,0.7634057971014492,0.705486126478684
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9949011077950326,0.6708860759493671,0.8383288152353673,0.8046928916494134,0.5446499727360428
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.992875589990204,0.6081081081081083,0.8981471535982815,0.7760869565217392,0.6475275586892635
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",1.0,0.992832148465754,0.5694444444444444,0.8169597855227881,0.7353968253968254,0.646128858525332
"frozenset({""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9920775586353944,0.5714285714285715,0.9751578423410443,0.7776599505125487,0.5751174252958808
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",1.0,0.9930963180362862,0.5882352941176472,0.8870122132856718,0.761904761904762,0.6305373447849436
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM"", ""POPPY'S PLAYHOUSE KITCHEN""})",1.0,0.9956585626502806,0.634920634920635,0.7971657754010696,0.7773584905660378,0.7514404246417212
frozenset({'COFFEE MUG DOG + BALL DESIGN'}),frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),1.0,0.9953392401990533,0.6875,0.9153272613626217,0.825,0.7299154428126391
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),1.0,0.9679507387092028,0.31677018633540377,0.8292687318263249,0.5869069590706764,0.3269237594315851
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9952905333906996,0.6666666666666667,0.8494303521098805,0.8029751062537948,0.7505469596061014
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9935490204327767,0.603174603174603,0.9491827438370846,0.7864754098360655,0.618932176663041
"frozenset({'SET/6 RED SPOTTY PAPER PLATES', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),1.0,0.9634936018990631,0.23899371069182387,0.8188763937635793,0.5388712928304059,0.24246858855738007
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9903872050384304,0.5963302752293578,0.807735198702352,0.7519946808510638,0.6848422162499785
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9838352827116453,0.4215686274509804,0.83915101590785,0.6502920317062996,0.45005231017660374
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9868129515654268,0.5,0.8901343992584868,0.712386018237082,0.5249005061518228
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1.0,0.9729133226324237,0.32352941176470584,0.7931842966194111,0.5760000000000001,0.3424654895666131
frozenset({'COFFEE MUG PEARS  DESIGN'}),frozenset({'COFFEE MUG APPLES DESIGN'}),1.0,0.9938202247191011,0.6578947368421053,0.9073567485711493,0.8066581306017926,0.6998733976895078
frozenset({'CHILDRENS CUTLERY POLKADOT BLUE'}),frozenset({'CHILDRENS CUTLERY POLKADOT PINK'}),1.0,0.989383547578956,0.48750000000000016,0.8264936787754378,0.68572695035461,0.5359160882719345
"frozenset({""ROLL WRAP 50'S RED CHRISTMAS""})","frozenset({""ROLL WRAP 50'S CHRISTMAS""})",1.0,0.988946940228307,0.5000000000000001,0.8913541630861949,0.7126312954484245,0.5257692593618848
frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),1.0,0.987077760145092,0.44594594594594605,0.9148019749973738,0.6907276995305165,0.45878262091250754
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9824450292136837,0.39325842696629215,0.8498159736421786,0.6376726417866588,0.41428404846360156
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),1.0,0.9954943679599499,0.6666666666666667,0.8306182121971596,0.8012820512820513,0.7657648984307308
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9917565150123291,0.6190476190476191,0.8349445405515417,0.7707061900610288,0.696909983522177
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),1.0,0.9848458355190302,0.46739130434782605,0.822378507288346,0.6724976830398517,0.5102213364737145
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1.0,0.9898587494638585,0.5657894736842106,0.9545180511742026,0.7683183183183184,0.5751881922560259
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),1.0,0.996954273629676,0.7400000000000001,0.8581656650117585,0.8506871035940804,0.8383479119158639
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),1.0,0.9973276647433951,0.7400000000000001,0.838347911915864,0.8506871035940804,0.8383479119158639
"frozenset({'BLUE SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),1.0,0.9855118781293278,0.4242424242424242,0.872077677224736,0.6633064516129031,0.44506988044550283
